City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,hammerfest,70.6634,23.6821,32.45,100,100,13.8,NO,1675804390
229,yaan,7.3833,8.5667,86.13,12,20,3.31,NG,1675804365
230,dusetos,55.75,25.85,20.34,96,54,5.21,LT,1675804391
231,paraguacu paulista,-22.4128,-50.5758,74.88,83,88,4.52,BR,1675804127
232,arys,42.4252,68.795,36.3,68,98,7.2,KZ,1675804392
233,east london,-33.0153,27.9116,71.94,86,100,11.41,ZA,1675804057
234,kristiansund,63.1115,7.732,38.05,87,20,5.75,NO,1675804394
235,castro,-24.7911,-50.0119,72.05,76,12,8.05,BR,1675803876
236,comodoro rivadavia,-45.8667,-67.5,69.6,46,3,10.87,AR,1675804395
237,jilib,0.4883,42.7854,74.52,88,31,8.63,SO,1675804396
238,vila,42.0304,-8.1588,35.71,72,14,5.61,PT,1675804396
239,porosozero,62.7191,32.727,29.62,92,100,10.78,RU,1675804397
240,itarantim,-15.6597,-40.0656,79.3,64,48,3.76,BR,1675804397
241,yar-sale,66.8333,70.8333,-6.07,95,98,13.09,RU,1675804072
242,dubbo,-32.25,148.6167,69.93,68,0,13.8,AU,1675804090
243,dacudao,7.2153,125.4714,69.6,84,100,4.12,PH,1675804398
244,rio gallegos,-51.6226,-69.2181,59.77,58,100,10.36,AR,1675804399
245,kibre mengist,5.8833,38.9833,55.6,41,8,2.84,ET,1675804188
246,harper,4.375,-7.7169,79.83,85,78,6.73,LR,1675804179
247,sioux lookout,50.1001,-91.917,19.47,68,75,9.22,CA,1675804294
248,vila velha,-20.3297,-40.2925,80.94,84,20,16.11,BR,1675804169
249,mnogovershinnyy,53.9353,139.9242,-20.7,99,100,1.86,RU,1675804400
250,kismayo,-0.3582,42.5454,76.28,88,49,15.19,SO,1675804401
251,collie,-33.3667,116.15,61.68,83,92,7.18,AU,1675804402
252,ishigaki,24.3448,124.1572,69.1,79,100,16.28,JP,1675804402
253,grand forks,47.9417,-97.4337,35.53,69,20,12.66,US,1675804403
254,port blair,11.6667,92.75,78.84,78,40,2.3,IN,1675804023
255,tiksi,71.6872,128.8694,-24.79,99,100,3.67,RU,1675803835
256,portland,45.5234,-122.6762,50.0,90,75,15.99,US,1675804038
257,caravelas,-17.7125,-39.2481,79.5,79,0,8.84,BR,1675804405
258,kushima,31.4583,131.2333,52.72,92,100,5.97,JP,1675804405
259,sorong,-0.8833,131.25,79.02,84,100,8.21,ID,1675804406
260,helong,42.5397,128.9972,7.97,91,8,5.79,CN,1675804406
261,bulgan,48.8125,103.5347,-3.17,94,11,3.76,MN,1675804407
262,kayan,16.9056,96.5631,73.54,41,34,6.38,MM,1675804408
263,oussouye,12.485,-16.5469,71.71,55,34,12.21,SN,1675804408
264,port macquarie,-31.4333,152.9167,70.9,74,93,2.62,AU,1675804409
265,longyearbyen,78.2186,15.6401,21.04,79,100,40.29,SJ,1675803885
266,bramming,55.4695,8.7001,37.96,94,45,9.22,DK,1675804409
267,tongchuan,35.0806,109.0897,41.47,47,100,6.98,CN,1675804410
268,adrar,20.5022,-10.0711,63.68,19,89,12.24,MR,1675804411
269,el zulia,7.9325,-72.6012,87.31,58,40,11.5,CO,1675804412
270,bako,5.7833,36.5667,68.92,38,3,3.85,ET,1675804413
271,dicabisagan,17.0818,122.4157,73.96,91,33,1.57,PH,1675804414
272,abu samrah,35.3029,37.1841,39.58,74,20,5.03,SY,1675804415
273,havre-saint-pierre,50.2334,-63.5986,7.16,61,0,8.05,CA,1675804416
274,hamilton,39.1834,-84.5333,55.85,79,100,8.05,US,1675804067
275,yertarskiy,56.7902,64.2995,-8.39,100,99,2.8,RU,1675804416
276,tura,25.5198,90.2201,58.62,51,6,2.84,IN,1675804417
277,mehamn,71.0357,27.8492,35.55,75,20,27.63,NO,1675804176
278,siddipet,18.1,78.85,70.09,53,87,4.74,IN,1675804418
279,seidu,9.0167,-10.6,83.35,33,100,2.91,SL,1675804418
280,inhambane,-23.865,35.3833,78.19,87,2,8.75,MZ,1675803826
281,xinyang,32.1228,114.0656,45.55,92,100,8.19,CN,1675804207
282,dhidhdhoo,6.8833,73.1,80.46,72,94,7.94,MV,1675804419
283,puerto carreno,6.189,-67.4859,94.73,34,62,9.89,CO,1675804419
284,husavik,66.0449,-17.3389,22.82,76,38,16.6,IS,1675803884
285,corner brook,48.9667,-57.9484,5.11,95,64,3.2,CA,1675804420
286,zyryanka,65.75,150.85,-36.42,99,85,4.09,RU,1675804124
287,tahe,52.3333,124.7333,-22.63,100,52,2.68,CN,1675804420
288,dudinka,69.4058,86.1778,-11.36,100,95,3.85,RU,1675804115
289,mahibadhoo,3.7833,72.9667,80.53,74,63,10.89,MV,1675804421
290,cairns,-16.9167,145.7667,81.07,88,100,6.91,AU,1675804165
291,skegness,53.1436,0.3363,39.16,86,13,6.49,GB,1675804421
292,bethanien,-26.502,17.1583,76.95,39,14,12.8,NA,1675804422
293,naze,28.3667,129.4833,61.34,71,75,11.01,JP,1675804235
294,gambo,4.6482,22.2633,74.91,21,7,3.13,CF,1675804422
295,goundam,16.4145,-3.6708,82.92,11,100,9.1,ML,1675804423
296,fort myers beach,26.452,-81.9481,82.45,52,40,12.66,US,1675804423
297,dingle,10.9995,122.6711,72.97,95,100,7.05,PH,1675803995
298,ramon castilla,-4.2569,-69.9594,86.16,66,40,3.44,PE,1675804424
299,etchoropo,26.7667,-109.6667,78.42,18,11,20.49,MX,1675804424
300,saldanha,-33.0117,17.9442,66.25,89,49,23.96,ZA,1675803825
301,skibbereen,51.55,-9.2667,46.11,86,89,2.44,IE,1675804425
302,diamantino,-14.4086,-56.4461,82.54,74,44,4.05,BR,1675804425
303,yangambi,0.8102,24.4336,75.79,46,98,2.06,CD,1675804426
304,pyinmana,19.7333,96.2167,59.11,35,0,3.36,MM,1675804426
305,saint anthony,45.0205,-93.218,36.14,62,0,12.66,US,1675804427
306,okhotsk,59.3833,143.3,-13.29,86,98,9.57,RU,1675804427
307,tessalit,20.1986,1.0114,75.15,14,96,2.46,ML,1675804427
308,lata,40.1629,-8.3327,46.08,75,3,3.33,PT,1675804364
309,los llanos de aridane,28.6585,-17.9182,56.95,83,40,20.71,ES,1675804116
310,linares,-35.85,-71.6,98.8,7,0,8.61,CL,1675804428
311,mweka,-4.85,21.5667,70.77,81,100,2.93,CD,1675804429
312,santa isabel do rio negro,-0.4139,-65.0192,84.36,72,83,3.27,BR,1675804429
313,mulege,26.8833,-111.9833,66.04,35,53,18.57,MX,1675804430
314,vuktyl,63.8567,57.3094,6.69,93,100,12.57,RU,1675804430
315,batemans bay,-35.7167,150.1833,66.09,92,98,4.05,AU,1675804431
316,sampit,-2.5333,112.95,73.54,95,100,1.12,ID,1675804086
317,slave lake,55.2834,-114.769,37.38,41,0,17.27,CA,1675804431
318,rantepao,-2.9701,119.8978,64.92,84,100,3.31,ID,1675804432
319,bindura,-17.3019,31.3306,64.2,85,4,1.23,ZW,1675804432
320,tanete,-3.9443,119.7848,75.85,88,95,4.74,ID,1675804433
321,auki,-8.7676,160.7034,79.54,86,94,4.83,SB,1675804433
322,luanda,-8.8368,13.2343,80.6,78,75,5.75,AO,1675804433
323,klaksvik,62.2266,-6.589,47.32,82,100,52.48,FO,1675803850
324,port hardy,50.6996,-127.4199,42.98,87,75,8.05,CA,1675804434
325,jinchang,38.4953,102.1739,27.01,49,100,5.23,CN,1675804435
326,morehead,37.2711,-87.1764,64.99,62,100,3.44,US,1675804435
327,bandarbeyla,9.4942,50.8122,76.17,76,56,13.76,SO,1675804106
328,la ronge,55.1001,-105.2842,37.65,52,20,23.02,CA,1675803881
329,fredericksburg,38.3032,-77.4605,56.44,50,0,9.22,US,1675804375
330,bathsheba,13.2167,-59.5167,79.41,78,40,16.11,BB,1675804008
331,mora,11.0461,14.1401,73.17,23,50,5.08,CM,1675804436
332,el espinal,16.3333,-94.0667,87.82,29,0,9.73,MX,1675804437
333,novoilinsk,51.6829,108.7143,-10.55,100,80,1.88,RU,1675804437
334,taltal,-25.4,-70.4833,73.67,72,64,7.67,CL,1675804438
335,dalaba,10.7,-12.25,69.87,31,9,1.9,GN,1675804438
336,strezhevoy,60.7333,77.5889,-3.8,98,89,6.82,RU,1675804439
337,hauterive,46.0901,3.4459,32.76,82,1,2.55,FR,1675803902
338,khasan,42.4308,130.6434,20.95,66,17,9.53,RU,1675804439
339,yeppoon,-23.1333,150.7333,71.38,73,59,16.15,AU,1675804191
340,beloha,-25.1667,45.05,73.33,84,100,7.05,MG,1675804186
341,inuvik,68.3499,-133.7218,-24.84,68,100,3.44,CA,1675804440
342,fort-shevchenko,44.5086,50.263,38.62,78,100,23.78,KZ,1675804196
343,diego de almagro,-26.3667,-70.05,82.63,29,45,13.09,CL,1675804099
344,panjab,34.388,67.0233,8.35,62,67,1.83,AF,1675804441
345,dalvik,65.9702,-18.5286,22.95,89,99,8.41,IS,1675804013
346,poya,-21.35,165.15,80.33,82,100,3.65,NC,1675804125
347,aksarka,66.5606,67.7975,-1.91,90,100,15.1,RU,1675804442
348,raymond,43.9015,-70.4703,31.41,47,44,7.14,US,1675804442
349,kano,12.0001,8.5167,76.05,16,100,8.79,NG,1675804443
350,harlingen,26.1906,-97.6961,82.36,74,75,26.46,US,1675804444
351,alice springs,-23.7,133.8833,72.95,88,6,0.0,AU,1675804444
352,ostrovnoy,68.0531,39.5131,36.36,92,100,22.15,RU,1675804445
353,lagoa,39.05,-27.9833,56.16,58,100,17.34,PT,1675803910
354,terney,45.0503,136.6092,11.48,81,20,6.13,RU,1675804356
355,san patricio,28.017,-97.5169,78.67,67,98,20.62,US,1675804166
356,torbay,47.6666,-52.7314,23.58,82,75,25.01,CA,1675803859
357,sobolevo,54.4299,31.8996,6.22,98,61,3.91,RU,1675804447
358,lompoc,34.6391,-120.4579,72.7,49,0,5.99,US,1675803609
359,malm,64.0721,11.2172,39.78,97,100,5.61,NO,1675804448
360,nome,64.5011,-165.4064,-6.84,72,100,1.19,US,1675803683
361,shieli,44.1667,66.75,33.04,76,100,7.27,KZ,1675804449
362,arraial do cabo,-22.9661,-42.0278,80.56,94,75,11.5,BR,1675803910
363,cidreira,-30.1811,-50.2056,77.79,69,11,9.91,BR,1675803858
364,doume,4.2333,13.45,72.54,24,9,1.16,CM,1675804450
365,north platte,41.1239,-100.7654,44.11,66,0,10.36,US,1675804451
366,bambous virieux,-20.3428,57.7575,79.05,83,40,13.8,MU,1675803854
367,lamar,33.6668,-95.5836,57.11,96,100,8.05,US,1675804185
368,touros,-5.1989,-35.4608,80.35,68,49,16.84,BR,1675803860
369,ampanihy,-24.7,44.75,75.38,68,100,6.35,MG,1675804452
370,huainan,32.6264,116.9969,42.57,81,97,6.82,CN,1675804453
371,bahia blanca,-38.7196,-62.2724,93.29,38,0,9.82,AR,1675804454
